Facility Code,Facility Name,Type,Owner,Province,County,District,Division,Location,Sub Location,Constituency,Nearest Town,KEPH Level,Plot Number,Open 24 Hours,Open Weekends,Beds,Cots,Operational Status
12931,Eden Dispensary,Dispensary,Private Enterprise (Institution),Nairobi,Nairobi,Kasarani,Kasarani,Kahawa,,KASARANI,Nairobi,Level 2,,0,0,0,0,Operational
11363,Eden Medical Clinic,Medical Clinic,Private Enterprise (Institution),Coast,Mombasa,Changamwe,Changamwe,Mikindani,Kwa Shee,CHANGAMWE,Mombasa,Level 2,,0,0,0,0,Operational
12932,Ediana Nursing Home,Nursing Home,Private Enterprise (Institution),Nairobi,Nairobi,Kasarani,Kasarani,Githurai,,KASARANI,Nairobi,Level 3,,0,0,0,0,Operational
18197,Edkar Health Services,Medical Clinic,Private Practice - Nurse / Midwife,Rift Valley,Kajiado,Kajiado North,Ngong,Ngong,Ngong,KAJIADO NORTH,Ngong,Level 2,,0,1,0,0,Operational
12933,Edna Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Nairobi,Kamukunji,Eastleigh North,Eastleigh Section I,,KAMUKUNJI,Nairobi,Level 2,,0,0,0,0,Operational
12934,Edna Maternity,Maternity Home,Private Enterprise (Institution),Nairobi,Nairobi,Kamukunji,Eastleign South,Eastleigh Section Iii,,KAMUKUNJI,Nairobi,Level 3,,0,0,6,0,Operational
18359,Educational Assessment and Resource Centre,Health Programme,Other Public Institution,Western,Kakamega,Mumias,Mumias Div,Nabongo,Township,MUMIAS,Mumias,Level 2,,0,0,0,0,Operational
10163,Edward Nyaga Clinic,Medical Clinic,Private Enterprise (Institution),Central,Kirinyaga,Kirinyaga South,Mwea,Murinduko,Kamunyange,MWEA,Gathoge,Level 2,,0,0,0,0,Not-Operational
11364,Egah Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Coast,Kilifi,Malindi,Malindi,Malindi,BaranI,MALINDI,Malindi,Level 2,,0,0,0,0,Operational
14426,Egerton University,Other Hospital,Other Public Institution,Rift Valley,Nakuru,Njoro,Njoro,Njoro,Njoro,MOLO,Njoro,Level 3,,0,0,26,26,Operational
13538,Egetonto Dispensary (Gucha) ,Dispensary,Ministry of Health,Nyanza,Kisii,Gucha,Ogembo,Machoge Chache,Misesi,BOMACHOGE,Egetonto/Botire,Level 2,,0,0,0,0,Operational
13539,Egetuki Medical Clinic (Gucha),Medical Clinic,Private Practice - Nurse / Midwife,Nyanza,Kisii,Gucha,Ogembo,Machoge Chache,Kanyimbo,BOMACHOGE,Egetuki,Level 2,,0,0,0,0,Operational
11995,Ekalakala Health Centre,Health Centre,Ministry of Health,Eastern,Machakos,Masinga,Masinga,Ekalakala,Ekalakala,MASINGA,Ekalakala,Level 3,,0,0,8,0,Operational
11996,Ekalakala Medical Clinic,Medical Clinic,Private Enterprise (Institution),Eastern,Machakos,Masinga,Masinga,Ekalakala,Ekalakala,MASINGA,Ekalakala,Level 2,,0,0,4,2,Operational
15868,Ekamanji Dispensary,Dispensary,Ministry of Health,Western,Vihiga,Emuhaya,Luanda,West Bunyore,Ebusikhale,EMUHAYA,Luanda,Level 2,,0,0,0,0,Pending Opening
17600,Ekani Dispenasry,Dispensary,Ministry of Health,Eastern,Kitui,Ikutha,Kanziku,Simisi,Ekani,KITUI SOUTH,Kanziku,Level 2,,0,0,0,0,Operational
13540,Ekerenyo Sub-District Hospital,Sub-District Hospital,Ministry of Health,Nyanza,Nyamira,Nyamira North,Ekerenyo,Obwari,Boisanga I,NORTH MUGIRANGO,Ekerenyo,Level 4,,0,0,18,0,Operational
16422,Ekerubo Dispensary (Kisii South),Dispensary,Ministry of Health,Nyanza,Kisii,Kisii South,Suneka,Bomorenda,Bomwancha,BONCHARI,Itibo Rianyabaro,Level 2,,0,0,0,0,Operational
13541,Ekerubo Dispensary (Masaba),Dispensary,Ministry of Health,Nyanza,Nyamira,Masaba South,Kiamokama,Irianyi,Bogeche,NYARIBARI MASABA,Rianyoka,Level 2,,0,0,4,0,Operational
15869,Ekitale Dispensary,Dispensary,Ministry of Health,Western,Bungoma,Bungoma South,Kanduyi,E. Bukusu,W. Sangálo,KANDUYI,Bungoma,Level 2,,0,1,0,0,Operational
15870,Ekwanda Health Centre,Health Centre,Ministry of Health,Western,Vihiga,Emuhaya,Luanda,South Bunyore,Ekwanda,EMUHAYA,Luanda,Level 3,,1,1,8,0,Operational
11997,El Hadi Dispensary,Dispensary,Ministry of Health,Eastern,Marsabit,North Horr,Dukana,Balesa,Elhadi,NORTH HORR,North Horr,Level 2,,0,0,0,0,Not-Operational
18170,El Kambere Nomadic Clinic,Dispensary,Ministry of Health,North Eastern,Garissa,Hulugho,Hulugho,El Kambere,El Kambere,IJARA,Hulugho,Level 2,,1,1,0,0,Operational
14427,Elangata Enterit Dispensary,Dispensary,Ministry of Health,Rift Valley,Narok,Narok South,Osupuko,Elangata Enterit,Elangata Enterit ,NAROK SOUTH,Naroosura Market,Level 2,,0,0,0,0,Operational
13332,Elben Dispensary,Dispensary,Ministry of Health,North Eastern,Wajir,Tarbaj,Mansa,Elben,Elben,WAJIR EAST,Elben Village,Level 2,,1,1,0,0,Operational
14428,Elburgon (PCEA) Dispensary ,Dispensary,Christian Health Association of Kenya,Rift Valley,Nakuru,Molo,Elburgon,Elburgon,Elburgon,MOLO,Elburgon,Level 2,19,0,0,0,0,Operational
14430,Elburgon Nursing Home,Nursing Home,Private Enterprise (Institution),Rift Valley,Nakuru,Molo,Elburgon,Elburgon,Elburgon,MOLO,Elburgon,Level 2,,0,0,10,0,Operational
14431,Elburgon Sub-District Hospital,Sub-District Hospital,Ministry of Health,Rift Valley,Nakuru,Molo,Elburgon,Elburgon,Elburgon,MOLO,Elburgon,Level 4,,0,0,40,0,Operational
14964,Eldama Ravine  (AIC) Health Centre,Health Centre,Christian Health Association of Kenya,Rift Valley,Baringo,Koibatek,Eldama Ravine,Eldama Ravine,Eldama Ravine,ELDAMA RAVINE,Eldama Ravine,Level 3,,1,1,12,1,Operational
14432,Eldama Ravine  District Hospital,District Hospital,Ministry of Health,Rift Valley,Baringo,Koibatek,Eldama Ravine,Eldama Ravine,Eldama Ravine,ELDAMA RAVINE,Eldama Ravine,Level 4,,1,1,72,2,Operational
13333,Eldas Health Centre,Health Centre,Ministry of Health,North Eastern,Wajir,Eldas,Eldas,Eldas,Eldas,WAJIR WEST,Griftu,Level 3,,0,0,0,0,Operational
11998,Eldera Dispensary,Dispensary,Ministry of Health,Eastern,Isiolo,Garbatula,Garbatulla,Eldera,Eldera,ISIOLO SOUTH,Eldera,Level 2,,0,0,0,0,Operational
16290,Eldere dispensary,Dispensary,Ministry of Health,North Eastern,Garissa,Lagdera,Benane,Benane,Benane,LAGDERA,Modogashe,Level 2,,0,0,0,0,Operational
14433,Eldo-Kit Clinic,Medical Clinic,Private Enterprise (Institution),Rift Valley,Trans Nzoia,Trans Nzoia West,Waitaluk,Waitaluk,Sirende,SABOTI,Kitale,Level 2,,0,0,0,0,Operational
14434,Eldoret Airport Dispensary,Dispensary,Ministry of Health,Rift Valley,Uasin Gishu,Wareng,Kapseret,Kapkatet,Kapkatet,ELDORET SOUTH,Eldoret,Level 2,,0,0,0,0,Operational
14435,Eldoret Hospital,Other Hospital,Private Enterprise (Institution),Rift Valley,Uasin Gishu,Eldoret East,Ainapkoi,Kapsoya,Kapsoya,ELDORET EAST,Eldoret,Level 4,,1,1,150,16,Operational
17874,Eldoret MTC Clinic,Medical Clinic,Ministry of Health,Rift Valley,Uasin Gishu,Eldoret East,Moiben,Kapsoya,,ELDORET EAST,Eldoret,Level 2,,0,1,0,0,Operational
18669,Eldoret Rapha Medical Centre,Medical Clinic,Christian Health Association of Kenya,Rift Valley,Uasin Gishu,Eldoret East,Moiben,Kimumu,Kimumu,ELDORET EAST,Eldoret,Level 2,,0,1,0,0,Operational
17351,Eldume Dispensary,Dispensary,Ministry of Health,Rift Valley,Baringo,Marigat,Marigat,Ngambo,Eldume,BARINGO CENTRAL,Marigat,Level 2,,3,3,0,0,Not-Operational
16443,Elele Nomadic Clinic,Dispensary,Ministry of Health,North Eastern,Mandera,Mandera Central,Wargadud,Elele,Elele,MANDERA CENTRAL,Wargadud,Level 2,,1,1,0,0,Not-Operational
14436,Elelea Health Centre,Health Centre,Ministry of Health,Rift Valley,Turkana,Turkana East,Lokori,Katilia,Elelea,TURKANA SOUTH,Lokori,Level 3,,0,0,0,0,Operational
16379,Elementeita Dispensary,Dispensary,Ministry of Health,Rift Valley,Nakuru,Gilgil,Elementaita,Miti Mingi,Elementeita,NAIVASHA,Gilgil,Level 2,,3,3,0,0,Pending Opening
11999,Elgade Dispensary,Dispensary,Ministry of Health,Eastern,Marsabit,Marsabit North,Maikona,Kalacha,Elgade,NORTH HORR,North Horr,Level 2,,0,0,0,0,Operational
14437,Elgeyo Boader Dispensary,Dispensary,Ministry of Health,Rift Valley,Uasin Gishu,Eldoret East,Moiben,Tembelio,Elgeyoborder,ELDORET EAST,Eldoret,Level 2,,0,0,0,,Operational
17229,El-golicha Dispensary,Dispensary,Ministry of Health,North Eastern,Mandera,Mandera Central,Elwak ,El-golicha,El-golicha,MANDERA CENTRAL,Elwak town,Level 2,,2,2,0,0,Pending Opening
14438,Elgon View Hospital,Other Hospital,Private Enterprise (Institution),Rift Valley,Uasin Gishu,Wareng,Kapseret,Kapseret,Langas,ELDORET SOUTH,Eldoret,Level 4,,1,1,39,0,Operational
15871,Elgon view Medical Cottage,Nursing Home,Private Enterprise (Institution),Western,Bungoma,Bungoma South,Kanduyi,Township,Township,KANDUYI,Bungoma,Level 3,330 E/Bukusu,1,1,16,1,Operational
16883,Elim Family Community Care,Medical Clinic,Non-Governmental Organizations,Nyanza,Kisumu,Kisumu East,Winam,Township,Northern,KISUMU TOWN EAST,Kisumu,Level 2,,0,0,0,0,Operational
18146,Elis Medicare,Medical Clinic,Private Practice - Nurse / Midwife,Eastern,Tharaka Nithi,Maara,Muthambi,Muthambi,Igamurathi,NITHI,Chogoria,Level 2,424d,0,1,0,0,Operational
14439,Elite Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Rift Valley,Kajiado,Kajiado Central,Ngong,Ongata Rongai,Kandisi,KAJIADO CENTRAL,Ongata Rongai,Level 2,,0,0,0,0,Operational
18031,Elite Medical Clinic (Bungoma East) ,Medical Clinic,Private Practice - Nurse / Midwife,Western,Bungoma,Bungoma East,Webuye,Municipality,Maraka,WEBUYE,sango,Level 2,,0,0,0,0,Operational
14440,Eliye Springs Dispensary,Dispensary,Christian Health Association of Kenya,Rift Valley,Turkana,Turkana Central,Kalokol,Kangatosa,Eliye Springs,TURKANA CENTRAL,Kalokol,Level 2,,0,1,0,0,Operational
12001,El-Molo Bay Dispensary,Dispensary,Ministry of Health,Eastern,Marsabit,Loyangalani,Loiyangalani,Loiyangalani,Loiyangalani,LAISAMIS,Marsabit,Level 2,,0,0,0,0,Operational
13334,Elnoor Dispensary,Dispensary,Ministry of Health,North Eastern,Wajir,Eldas,Griftu,Elnoor,Elnoor,WAJIR WEST,Griftu,Level 2,,1,1,0,0,Operational
17230,El-Ram Dispensary,Dispensary,Ministry of Health,North Eastern,Mandera,Mandera Central,Kutulo,El-ram ,El-ram,MANDERA CENTRAL,Kutulo,Level 2,,2,2,0,0,Pending Opening
18361,Eluche,Dispensary,Community,Western,Kakamega,Mumias,East Wanga,Shianda,Eluche,MUMIAS,Mumias,Level 2,East Wanga-Eluche 206,3,3,0,0,Operational
15872,Elukhambi Dispensary,Dispensary,Ministry of Health,Western,Kakamega,Kakamega Central (Lurambi),Lurambi,Butsotso South,Matioli,LURAMBI,Elukhambi Church Of God,Level 2,,0,0,4,0,Operational
13335,Elwak District Hospital ,District Hospital,Ministry of Health,North Eastern,Mandera,Mandera Central,Elwak,Elwak Town,Elwak North,MANDERA CENTRAL,Elwak,Level 4,,1,1,48,17,Operational
16714,Elwangale Health Centre,Dispensary,Ministry of Health,Western,Kakamega,Khwisero,Khwisero East,Kisa East,Munjiti,KHWISERO,Emasatsi,Level 2,,0,0,0,0,Operational
15873,Elwasambi Dispensary,Dispensary,Ministry of Health,Western,Kakamega,Mumias,East Wanga,Lubinu,,MUMIAS,Mumias,Level 2,,0,0,,,Operational
15874,Elwesero Dispensary,Dispensary,Community,Western,Kakamega,Kakamega Central (Lurambi),Municipality,Bukhungu,Shirere,LURAMBI,Kakamege Town,Level 2,,0,0,0,0,Operational
18165,Emahene Medical Clinic ,Medical Clinic,Private Practice - Nurse / Midwife,Western,Kakamega,Khwisero,East division,,,KHWISERO,Khwisero,Level 2,,0,1,5,0,Operational
12467,Emali Manchester Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Eastern,Makueni,Nzaui,Mbitini,Mbitini,Emali,MAKUENI,Emali Town,Level 2,333 Emali,1,1,12,2,Operational
18260,Emali model health centre,Health Centre,Ministry of Health,Eastern,Makueni,Nzaui,Mulala,Mbitini,Emali,MAKUENI,Emali,Level 3,,1,1,0,0,Operational
12002,Emali Nursing Home,Medical Clinic,Private Enterprise (Institution),Eastern,Makueni,Nzaui,Mulala,Emali,Emali,MAKUENI,Emali Town,Level 3,N/A,1,1,16,2,Operational
17409,Emalindi Health Centre,Health Centre,Ministry of Health,Western,Kakamega,Khwisero,Khwisero East,Kisa South,,KHWISERO,Khwisero,Level 3,,0,0,2,0,Operational
14441,Emaroro Dispensary,Dispensary,Ministry of Health,Rift Valley,Kajiado,Mashuru,Mashuuru,Emaroro, Kilo,KAJIADO CENTRAL,Mashuuru,Level 2,,0,0,0,0,Operational
14442,Emarti Health Centre,Health Centre,Ministry of Health,Rift Valley,Narok,Trans Mara West - Dikirr,Kirindon,Emarti,Emarti,KILGORIS,Emarti Market,Level 3,,1,1,18,3,Operational
16867,Ematiha Dispensary,Dispensary,Ministry of Health,Western,Kakamega,Kakamega Central (Lurambi),Lurambi,Butsotso East,Ematiha,LURAMBI,Ematiha Mkt,Level 2,,0,0,4,0,Operational
15875,Ematsuli Dispensary,Dispensary,Ministry of Health,Western,Vihiga,Emuhaya,Emuhaya,North Bunyore,Emmukunzi,EMUHAYA,Luanda,Level 2,,0,0,1,0,Operational
14443,Emaus Clinic,Medical Clinic,Private Enterprise (Institution),Rift Valley,Nakuru,Kuresoi,Olenguruone,Amalo,Amalo,KURESOI,Olenguruone,Level 2,18,0,0,4,0,Operational
12935,Embakasi Health Centre,Health Centre,Local Authority,Nairobi,Nairobi,Embakasi,Embakasi,Embakasi,Embakasi,EMBAKASI,Embakasi ,Level 3,,0,0,0,0,Operational
10166,Embaringo Dispensary,Dispensary,Ministry of Health,Central,Nyeri,Kieni West,Kieni West,Embaringo,Embaringo,KIENI,Gatarakwa,Level 2,,0,0,0,0,Operational
18073,Embomos Dispensary ,Dispensary,Ministry of Health,Rift Valley,Bomet,Konoin,Cheptalal,Embomos,Embomos,KONOIN,,Level 2,,0,0,0,0,Operational
13543,Embonga Health Centre,Health Centre,Ministry of Health,Nyanza,Nyamira,Nyamira,Nyamaiya,Keera,Charachani,WEST MUGIRANGO,Miruka,Level 3,,1,1,15,0,Operational
12003,Embori Farm Clinic,Dispensary,Company Medical Service,Eastern,Meru,Buuri,Timau,Ngusishi,Maritati,NORTH IMENTI,Meru,Level 2,,0,1,0,0,Operational
12790,Embu Children Clinic,Health Centre,Christian Health Association of Kenya,Eastern,Embu,Embu West,Central,Municipality,Kamiu,MANYATTA,Embu,Level 3,,1,1,0,0,Operational
16238,Embu KMTC Dispensary,Dispensary,Ministry of Health,Eastern,Embu,Embu West,Central,Municipality,Njukiiri,MANYATTA,Embu,Level 2,EMBU/MUN/897,0,0,0,0,Operational
12004,Embu Provincial General Hospital ,Provincial General Hospital,Ministry of Health,Eastern,Embu,Embu West,Central,Municipality,Njukiiri,MANYATTA,Embu,Level 5,,1,1,618,97,Operational
14445,Embul - Bul Catholic Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Rift Valley,Kajiado,Kajiado Central,Ngong,Oloolua,Bul-Bul,KAJIADO CENTRAL,Ngong,Level 2,,0,0,2,0,Operational
17164,Embu-Mbeere Hospice,Medical Clinic,Ministry of Health,Eastern,Embu,Mbeere South,Gachoka,Mbeti South,Kiamuringa,GACHOKA,Embu,Level 2,2628,0,0,0,0,Operational
16349,EMC Kimumu Dispensary,Dispensary,Ministry of Health,Rift Valley,Uasin Gishu,Eldoret East,Moiben,Chepkoilel,Chepkoilel,ELDORET EAST,Eldoret,Level 2,,0,0,0,0,Operational
17272,Emeroka Dispensary,Dispensary,Ministry of Health,Nyanza,Nyamira,Masaba South,Kiamokama,Nyaribari Central,Emeroka,NYARIBARI MASABA,Mwembe,Level 2,,0,0,2,0,Operational
17184,EMESC Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Rift Valley,Turkana,Turkana Central,Central,Lodwar Town,Nakwamekwi,TURKANA CENTRAL,Lodwar,Level 2,,0,2,0,0,Operational
14446,Emining Health Centre,Health Centre,Ministry of Health,Rift Valley,Baringo,Mogotio,Emining,Emining,Emining,MOGOTIO,Mogotio,Level 3,,1,1,16,2,Operational
14447,Emitik Dispensary,Dispensary,Ministry of Health,Rift Valley,Nakuru,Kuresoi,Olenguruone,Emitik,Emitik,KURESOI,Olenguruone,Level 2,,0,0,0,0,Operational
17425,Emmah Medial Clinic,Dispensary,Private Practice - Nurse / Midwife,Central,Kiambu,Githunguri,Komothai,Kiratina,Kandangai,GITHUNGURI,Kigumo Town,Level 2,LR 34 Kigumo,1,0,0,0,Operational
17574,Emmanuel Community Health Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Central,Nyeri,Kieni East,Mathira ,Ruguru,Kiamariga,KIENI,Kiamariga,Level 2,,0,0,0,0,Operational
12005,Emmanuel Kigari (ACK) Dispensary,Dispensary,Christian Health Association of Kenya,Eastern,Embu,Embu North,Manyatta,Ngandori,Kirigi,MANYATTA,Manyatta,Level 2,,0,1,0,0,Operational
10167,Emmanuel M/C VCT Centre,VCT Centre (Stand-Alone),Other Public Institution,Central,Kiambu,Thika West,Thika Municipality,Thika,Komu,JUJA,Thika,Level 2,,0,0,0,0,Operational
16707,Emmanuel Medical Clinic (Bungoma East),Medical Clinic,Private Enterprise (Institution),Western,Bungoma,Bungoma East,Ndivisi,Misikhu,Namarambi,WEBUYE,Misikhu,Level 2,410,0,0,0,0,Operational
16743,Emmanuel Medical Clinic (Kangundo),Medical Clinic,Private Enterprise (Institution),Eastern,Machakos,Matungulu,Matungulu,Matungulu ,Matungulu,KANGUNDO,Nguluni Market ,Level 2,,0,0,0,0,Operational
10168,Emmanuel Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Nurse / Midwife,Central,Nyeri,Kieni West,Kieni West,Gatarakwa,Karemeno,KIENI,Karemeno,Level 2,,0,0,0,0,Operational
10169,Emmaus Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Central,Murang'a,Kigumo,Kigumo,Kangari,Kangari,KIGUMO,Kangari,Level 2,,0,0,0,0,Operational
12936,Emmaus Nursing Home,Maternity Home,Private Enterprise (Institution),Nairobi,Nairobi,Embakasi,Embakasi,Umoja,Savannah,EMBAKASI,Nairobi,Level 3,,1,1,12,2,Operational
14448,Emotoroki Dispensary,Dispensary,Ministry of Health,Rift Valley,Kajiado,Kajiado Central,Mashuru,Maparasha,Emotoroki,KAJIADO CENTRAL,Kajiado,Level 2,,0,0,0,0,Operational
14444,Empough Dispensary,Dispensary,Ministry of Health,Rift Valley,West Pokot,West Pokot,Sook,Chepkomos,Chepkomos,KAPENGURIA,Kapenguria,Level 2,,0,0,0,0,Operational
14449,Emsea Dispensary,Dispensary,Ministry of Health,Rift Valley,Elgeyo Marakwet,Keiyo South,Soy,Sego,Emsea,KEIYO SOUTH,Iten,Level 2,,0,0,0,0,Operational
15876,Emuhaya Sub District Hospital,Sub-District Hospital,Ministry of Health,Western,Vihiga,Emuhaya,Emuhaya,Wekhomo,Iboona,EMUHAYA,Luanda,Level 4,,1,1,12,3,Operational
15877,Emukaya Clinic,Medical Clinic,Private Enterprise (Institution),Western,Kakamega,Kakamega Central (Lurambi),Lurambi,Butsotso North,Esumeyia,LURAMBI,Ingotse Mkt,Level 2,,0,0,3,0,Operational
14450,Emumwenyi Dispensary,Dispensary,Ministry of Health,Rift Valley,Kajiado,Loitoktok,Rombo,Rombo,Njukini,KAJIADO SOUTH,Rombo,Level 2,,1,1,4,0,Operational
14451,Emurua Dikir Dispensary,Dispensary,Ministry of Health,Rift Valley,Kajiado,Mashuru,Namanga,Bisil,Ilpartimaro,KAJIADO CENTRAL,Bisil,Level 2,,0,0,0,0,Operational
14452,Emurua Dikirr Dispensary,Dispensary,Ministry of Health,Rift Valley,Narok,Trans Mara East,Emurua Dikirr,Emurua Dikirr,Chemamit,KILGORIS,Emurua Dikir Market,Level 2,4,0,0,0,0,Operational
16762,Emusanda Dispensary,Dispensary,Ministry of Health,Western,Kakamega,Kakamega Central (Lurambi),Lurambi,Butsotso Central,Eshisiru,LURAMBI,Eshisiru Mkt,Level 2,,0,0,4,0,Operational
15878,Emusenjeli Dispensary,Dispensary,Ministry of Health,Western,Vihiga,Emuhaya,Emuhaya,East Bunyore,Emutsalwa,EMUHAYA,Luanda,Level 2,,0,0,0,0,Operational
16979,Emusire Health Centre,Health Centre,Ministry of Health,Western,Vihiga,Emuhaya,Luanda ,Central Bunyore ,Emusire ,EMUHAYA,Luanda/Emusire/Mwichio,Level 3,,1,1,0,0,Operational
12007,Ena Dispensary ,Dispensary,Ministry of Health,Eastern,Embu,Embu East,Runyenjes,Kagaari South,Kawanjara,RUNYENJES,Ena,Level 2,229 Ena R/D,0,0,0,0,Operational
14453,Enabelbel Health Centre,Health Centre,Ministry of Health,Rift Valley,Narok,Narok North,Olokurto,Kisiriri,Enabelbel,NAROK NORTH,Narok ,Level 3,,1,1,9,3,Operational
14454,Enaibor Ajijik Dispensary,Dispensary,Ministry of Health,Rift Valley,Narok,Narok North,Mau,Upper Melili,Enaibor Ajijik,NAROK NORTH,Naivasha,Level 2,,0,0,0,0,Operational
17519,Enanga Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Western,Kakamega,Khwisero,,,,KHWISERO,,Level 2,,0,1,0,0,Operational
10170,Endarasha Rural Health Centre,Health Centre,Ministry of Health,Central,Nyeri,Kieni West,Kieni West,Endarasha,Endarasha,KIENI,Endarasha,Level 3,,0,0,10,0,Operational
12008,Endau Dispensary,Dispensary,Ministry of Health,Eastern,Kitui,Mutitu,Mwitika,Endau,Ndatani,MUTITO,Endau,Level 2,,0,0,2,0,Operational
14455,Endebess Sub-District Hospital,Sub-District Hospital,Ministry of Health,Rift Valley,Trans Nzoia,Kwanza,Endebess,Endebess,Endebess,KWANZA,Kitale,Level 3,,1,1,20,8,Operational
12009,Endei Dispensary,Dispensary,Ministry of Health,Eastern,Machakos,Masinga,Masinga,Kithyoko,Endei,MASINGA,Endei,Level 2,,0,0,1,0,Operational
13544,Endiba Health Centre,Health Centre,Ministry of Health,Nyanza,Nyamira,Nyamira North,Ekerenyo,Kiabonyoru,Nyaramba,NORTH MUGIRANGO,Nyaramba,Level 3,,0,0,5,0,Operational
14456,Endo Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Rift Valley,Elgeyo Marakwet,Marakwet East,Tot,Endo,Barkelat,MARAKWET EAST,Kapsowar,Level 3,,0,0,40,0,Operational
14457,Endoinyo Erinka Dispensary,Dispensary,Ministry of Health,Rift Valley,Narok,Narok South,Mara,Aitong ,Endoinyo Erinka ,NAROK SOUTH,Aitong Market,Level 2,,0,0,0,0,Operational
17746,Endoinyo Narasha,Dispensary,Ministry of Health,Rift Valley,Narok,Narok South,Mara,Olkinyei,Endoinyo Narasha ,NAROK SOUTH,Endoinyo Narasha,Level 2,,0,0,0,0,Operational
17221,Enesampulai Dispensary,Dispensary,Ministry of Health,Rift Valley,Narok,Narok North,mau,Upper Melili,Enesambulai,NAROK NORTH,Narok,Level 2,,0,0,0,0,Operational
14458,Engashura Health Center,Health Centre,Ministry of Health,Rift Valley,Nakuru,Nakuru North,Bahati,Bahati,Kiamaina,SUBUKIA,Engashura,Level 3,,0,0,0,0,Operational
10171,Engineer District Hospital,Other Hospital,Ministry of Health,Central,Nyandarua,Nyandarua South,North Kinangop,Kitiri,Ndunyu Njeru,KINANGOP,Engineer,Level 4,,0,0,6,0,Operational
17557,Engineer Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Central,Nyandarua,Nyandarua South,,,,KINANGOP,,Level 2,,3,3,0,0,Operational
17910,Engos Health Cente,Health Centre,Christian Health Association of Kenya,Rift Valley,Narok,Trans Mara East,Lolgorian,Oloirien,Kawai,KILGORIS,Lolgorian Market,Level 3,,1,1,12,6,Operational
10172,Enkasiti Roses Farm Clinic,Medical Clinic,Private Enterprise (Institution),Central,Kiambu,Gatanga,Gatanga,Samuru,Gathambarara,GATANGA,Thika,Level 2,,0,0,0,0,Operational
14460,Enkirgir Dispensary,Dispensary,Ministry of Health,Rift Valley,Kajiado,Isinya,Isinya,Isinya,Enkirgir,KAJIADO NORTH,Isinya,Level 2,,0,0,0,0,Operational
14461,Enkirotet Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Rift Valley,Kajiado,Loitoktok,Rombo,Rombo,Rombo,KAJIADO SOUTH,Rombo,Level 2,,0,1,4,0,Operational
14462,Enkitoria Dispensary,Dispensary,Other Faith Based,Rift Valley,Narok,Narok South,Mara,Enkitoria ,Enkitoria ,NAROK SOUTH,Ololulunga,Level 2,,0,0,0,0,Operational
17813,Enkongu Narok Dispensary,Dispensary,Community Development Fund,Rift Valley,Kajiado,Loitoktok,Entonet,Amboseli,Amboseli,KAJIADO SOUTH,Loitokitok Town,Level 2,,3,3,4,0,Pending Opening
14463,Enkorika Health Centre,Health Centre,Ministry of Health,Rift Valley,Kajiado,Kajiado Central,Central,Enkorika,Enkorika,KAJIADO CENTRAL,Kajiado Town,Level 2,,0,0,6,1,Operational
17784,Enkutoto Dispensary,Dispensary,Ministry of Health,Rift Valley,Narok,Narok South,Osupuko,Elangata Enterit,Ilkimati,NAROK SOUTH,Naroosura,Level 2,,0,0,0,0,Pending Opening
14465,Enoosaen Health Centre,Health Centre,Ministry of Health,Rift Valley,Narok,Trans Mara West - Dikirr,Keiyan,Enoosaen,Enoosaen,KILGORIS,Enoosaen Market,Level 3,,1,1,16,0,Operational
14466,Enoosaen ZH Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Rift Valley,Narok,Trans Mara West - Dikirr,Keiyan,Enoosaen,Enoosaen,KILGORIS,Enoosaen Market,Level 2,Isolated,0,1,0,0,Operational
14464,Enoosupukia Dispensary,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Rift Valley,Narok,Narok North,Mau,Enoosupukia,Enoosupukia,NAROK NORTH,Narok ,Level 2,,0,0,1,0,Operational
17730,Ensakia Dispensary,Dispensary,Ministry of Health,Nyanza,Nyamira,Borabu,Nyansiongo,Nyansiongo,Isoge/Kineni,NORTH MUGIRANGO,Kijauri,Level 2,,0,0,0,0,Operational
13545,Entanda Dispensary ,Dispensary,Ministry of Health,Nyanza,Kisii,Marani,Marani,Ngenyi,Ikuruma,KITUTU CHACHE,Entanda,Level 2,,0,0,0,0,Operational
16424,Entanke Dispensary,Dispensary,Community,Nyanza,Kisii,Kisii South,Igonga,Bomariba,Keboye,BONCHARI,Mogumo,Level 2,,0,0,0,0,Pending Opening
14467,Entarara Health Centre,Health Centre,Ministry of Health,Rift Valley,Kajiado,Loitoktok,Rombo,Entarara,Entarara,KAJIADO SOUTH,Entarara Market,Level 3,,1,1,20,4,Operational
